,name,time,tweet
0,Ibrahim,11/13/2019 23:17,"Don’t worry beneficiaries we are still working on your stipend, u will soon receive your stipend. Thanks from Npower"
1,Becky,11/13/2019 23:02,Never in my 27 years have I been more disgusted in a company _ng   shambles of a company should be ashamed
2,Itz_BigFredDilly,11/13/2019 22:28,Why is N-Power still holding or delaying their beneficiaries their stipends till this date...?? That’s not fair at all. This is really nit goo
3,milano,11/13/2019 22:28,N-Power To advocate can come with mannerism
4,Yemi Franklin,11/13/2019 22:22,"Who then advocates for the N-Power beneficiaries?

Or, who should it be?"
5,Khalid,11/13/2019 21:45,i never wanted to say I'm dissapointed in N-Power delay of the payment of  October stipend…
6,"Gualo, Confidence",11/13/2019 21:29,"N-Power Pls what is happening to our October 2019 Stipend.

Why the long delay and zero motivation"
7,usman mohammed,11/13/2019 21:29,Yeah. .. we cannot work without this stipend
8,Com.Abdallah Iko-Ojo Ismail,11/13/2019 20:57,N-Power No more alawee
9,AbuAmor_AB,11/13/2019 20:18,N-Power acquired from the training center.
10,AbuAmor_AB,11/13/2019 20:18,letter of industrial attachment from N-Power ( like undergraduate IT / SIWES letter) is to enable us develop further the skills we have
11,AbuAmor_AB,11/13/2019 20:17,I am a beneficiary of the 19th Northern states Npower Tech Software program currently on. I want to plead with FG to give us our  stipends
12,malom alade femni,11/13/2019 19:42,"N-Power, How will I register ,
October  salary is not available and this is not good in anyway pls sir"
13,Ekun Peter,11/13/2019 19:32,"N-Power Please, what is responsible for the delay of our stipend?"
14,Kasim Suleiman,11/13/2019 19:14,"No stipend, Npower beneficiaries in dark, today is 13th of November, Oct stipend still hanging, we are suffering here oh"
15,Uzairu Mukhtar,11/13/2019 18:36,N-Power Pay October stipend this is not fair
16,Kasim Suleiman,11/13/2019 18:35,"Good day Ma, today 13th November, October stipend yet to be paid to npower beneficiaries. Many depend on this salaries and yet it is not working"
17,Kamal makama,11/13/2019 18:24,"N-Power  You are using our stipend for gaining bank interest, we will continue criticism unless presidency is aware of negative attitude"
18,daddymi,11/13/2019 18:17,"_ng Good evening, please, When are we getting our October stipends? On a serious note, It's getting unbearable."
19,muhamad shakur aliyu,11/13/2019 18:01, _ng They have not finished with applicants on their list yet
20,Professional Agronomist,11/13/2019 17:58,"Dear   .

Kindly investigate the activities of N-Power under  today been 13 November. There is a delay in the payment of our stipends"
21,OJ. Yahaya #SDGs💦🌍💧🏞,11/13/2019 17:53,"As a teacher I don't just teach I do play during the break hours too, that's a way of relaxing my brain from all these stress"
22,Abulfathi Ibrahim ,11/13/2019 17:47,N-Power The one thing this government and the previous one shared in common is still corruption and fake promises
23,Alamutu Azeez,11/13/2019 17:32,N-Power The late payment of the allowance of the beneficiaries of this scheme is depicting the essence of its essence
24,sammy adams,11/13/2019 17:21,N-Power is the portal open for application?
25,usman kayode,11/13/2019 16:54,"N-Power Just tell us if there is no Npower again, why raising hopes when you know the real deal is not working somentimes. Message alert 🚨…"
26,Solihu Luqman Akeem,11/13/2019 16:48,N-Power The scheme should be opened for new recruitee
27,Hassan Omar Bulama,11/13/2019 15:52,N-Power where is the camera man standing please or is lying down 😕...
28,Costus spectabilis,11/13/2019 15:47,interior of N-Power    …
29,BIU EMIRATE YOUTH FORUM,11/13/2019 15:34,"N-Power good day to all team worker,I just want confirm about the device collection of batch B.And pls what happening to my batch"
30,Oseni azeez opeyemi,11/13/2019 15:34,N-Power has forgotten about that bro.
31,Oseni azeez opeyemi,11/13/2019 15:32,N-Power why are you delaying the stipend now. People depends so much on this.
32,O. J. OKORIE,11/13/2019 15:22,The truth is that N-Power can't be predicted. It is unstable
33,Costus spectabilis,11/13/2019 15:21,"N-Power is trying, let give them more time"
34,Datjosboy,11/13/2019 15:19,N-Power HOW DID YOU GET HERE
35,Chizoba obonna,11/13/2019 15:18,"N-Power, I requested for resignation but nothing has been done till now why?"
36,Ezekiel Agboola,11/13/2019 14:56,"N-Power Pls respond to the npower volunteers today, to release their October stipends.
Today is November 13th...…"
37,Jamilu Isiya,11/13/2019 14:40,"N-Power That is the deal's, and made it."
38,Olojede Olayinka R,11/13/2019 14:37,N-Power today is the 13th day of the month ...where is the stipends ?
39,muhamad shakur aliyu,11/13/2019 14:26,"N-Power am am tired of waiting, please where is our stipend"
40,Osun Reporters,11/13/2019 14:13,N-POWER: House of Reps begins investigation of arbitrary disengagement of beneficiaries (must read)
41,Muhammad Abba Gana,11/13/2019 14:05,"A clone of Remita login page
 NpowerTech class6"
42,Shamsiddeen Haruna J,11/13/2019 13:19,"I'd rather be suffered from poverty than from such an irritating expectations, I'll exit this inconvenient, tricky programme"
43,,11/13/2019 13:15,N-POWER where is Our stipend ?
44,klef,11/13/2019 12:36,N-POWER is Jostified…
45,klef,11/13/2019 12:31,Director of N-POWER: and the Commissioner of science and technology of Plateau State visited  NpowerTech (plateau…
46,priscashuga,11/13/2019 12:27,Why haven't you paid stipends N-POWER this is so disheartening
47,AliyusT waziri,11/13/2019 12:20,N-POWER This is Injustice please pay our stipends😭
48,J.T.A.,11/13/2019 11:43,N-POWER Shut up and pay our stipends
49,Apeyuan Emmanuel,11/13/2019 11:41,N-POWER What a country
50,Bolarinwa Kabir,11/13/2019 11:20,"N-POWER What is delaying the October Stipend for the npower beneficiaries, November is almost half already,…"
51,Adetoro Adebola,11/13/2019 11:06,N-POWER we beg in the name of God pls pay our October stipend. it is heart breaking
52,Oyediran Fisayo,11/13/2019 11:04,N-POWER Mr Afolabi Imokhude tell whoever in charge to pay our stipend. Npower use to transparent but not now
53,Oyediran Fisayo,11/13/2019 10:56,"N-POWER Today is the 13th day of November yet October stipend have not been paid for goodness sake, we are not treated fairly"
54,Tarnongu Peter,11/13/2019 10:54,N-POWER  Did N-power website is open now for new employment?
55,WHY⚽️⚽️⚽️⚽️⚽️,11/13/2019 10:49,This Npower is a useless empowerment where the beneficiary get to beg for their stipend every month. It is very useless
56,Wiseurch,11/13/2019 10:48,"N-POWER Can u please tell us why our stipends is being delayed, this is crazy"
57,Smile More,11/13/2019 10:36,"N-power talk to us what's happening 📢📢📢...
🎙️...why the delay in payment. please pay us"
58,adama umar,11/13/2019 10:26,"Good morning N-POWER am one of the beneficiary of N-BUILD up skilling program in kogi state,we hv not been paid by now"
59,Hardeeboitweet,11/13/2019 10:14,N-POWER pls what's the available Npower programme that I can apply?
60,Social Investment - NGR,11/13/2019 9:51,"To keep up with what the  is doing in Social Investments, a reminder of our programme handles -… "
61,adeda,11/13/2019 9:46,"Natimi Philomena, one of the _ng Software Development Training Program (Southern region), talks about the oppurtunity in software industry"
62,Itz_BigFredDilly,11/13/2019 9:39,N-POWER it has come to our notice that we are not going to get our stipends. Today’s date is 24th October 2019. it is disheartening...
63,EKITIKAN,11/13/2019 9:36,"CCT: for the poorest of the poor
 : (_Moni MarketMoni, FarmerMONi) for Petty traders, MSMEs owners… "
64,EKITIKAN,11/13/2019 9:36,"NSIP: The largest social investment programme in the whole of Africa (CCT,  (_Moni MarketMoni,… "
65,zayd abdullah,11/13/2019 9:17,N-POWER has Retarded in thoughts.
66,Uzairu Y Sunkuye,11/13/2019 9:10,N-POWER Pls our Stipend
67,fadahunsi victor oluwafemi,11/13/2019 9:03,N-POWER Good morning sir/ma please what is happening to our stipend. Why is it delayed
68,007BAMI,11/13/2019 8:55,N-POWER why haven't we been  paid our October stipend by now NOV 13 this is unjust. and unfair
69,Richie,11/13/2019 8:41,N-POWER why not give us update on October salary and reason for the delay. Are you waiting for us to protest before…
70,aladelokun jimlas,11/13/2019 8:09,"N-POWER How many people can afford to give 10k every month, if that was that easy"
71,Lazy Fucker,11/13/2019 8:02,N Power beneficiaries initially thought things will be better as N-POWER is moved under but the delayed is now overwhelming
72,Noreaga,11/13/2019 7:44,Good morning _ng am trying to choose my transition program but its not coming up. Whats wrong please?
73,#ThursdayThoughts,11/13/2019 7:38,Hi Please is npower recruiting now
74,Salaudeen Hussain J.,11/13/2019 7:30,"N-POWER Thanks. Please, I cannot find any npower- transition on my dashboard/profile since more than a week I ha…"
75,OJ. Yahaya #SDGs💦🌍💧🏞,11/13/2019 6:37,N-POWER You have right to your own opinion don't dwell too  much on mine causing yourself unnecessary…
76,Marshall,11/13/2019 6:27,N-POWER please improve in the management of this programme
77,Otunba Femi (Omo Baba Agbonmagbe),11/13/2019 6:13,"N-POWER See their faces. Hungry youths, they will come to twitter to cry wolf"
78,Joshua ano,11/13/2019 6:04,N-POWER Please pay us before we die ooo
79,THIS WORLD IS VANITY!!!,11/13/2019 5:51,"N-POWER, this is crazy, why are we not paid self"
80,PSY COMMUNITY,11/13/2019 5:34,N-POWER Bullshit. I wonder your yardstick for performance. I…
81,AREN OGHENEVWOKE,11/13/2019 4:55,N-POWER THEY WILL CALL IT HATE SPEECH BUT WHAT YOU SAID IS THE TRUTH.  I STAND IN SOLIDARTITY WITH N-POWER VOLUNTEERS
82,Ryhannah 2010,11/13/2019 1:55,"N-POWER You people have diverted our stipend, for your own selfish gain. There is God oooo today is 13th day of November"
83,Egunlusi Olumide,11/13/2019 0:30,"N-POWER,  Lagos state is smarter than you so don't act smart"
84,Good vibes pot,11/12/2019 22:07,"N-POWER, Is it so bad that you people are delaying the stipend .  30 k is not huge and we stress ourselves in the process"
85,Joshua ano,11/12/2019 21:27,"N-POWER, You're not helping but killing us with this delay of stipend"
86,Akinbile Oyewumi S,11/12/2019 21:27,"N-POWER good evening handlers at npower_ng, I hope we deserve a tweet as touching last month stipend. Please tweet about it until it reaches them"
87,Calyb U.,11/12/2019 20:28,"N-POWER, the only reason to press the exit button on my dashboard is to fund my account with N500,000 to boost my…"
88,NPOWER ENHANCEMENT (THEY CALL IT),11/12/2019 20:20,"Alongside my fellow npower volunteers, we've served our various states at different levels for 3 years, yet we are not paid when due. it is really unfair"
89,Boyon zacchaeus,11/12/2019 20:15,Fine you volunteered no one is disputing that. But you have to behave well
90,yahaya kana,11/12/2019 19:37,It seems payment happen mostly in Islamic festive and never happen once for the Christian's fact
91,yahaya kana,11/12/2019 19:36,I support this fact Chairman  it's happen 3 consecutive time this year. This is very unfair
92,yahaya kana,11/12/2019 19:34,Wait and see what will happen in christmas day the will pay on 20th mark this day....
93,yahaya kana,11/12/2019 19:33,that is  well said. but yet this is not fair
94,yahaya kana,11/12/2019 19:32,"Since I start working with npower batch B. the never favour Muslims brothers, when it comes to stipend"
95,ubaidu yau,11/12/2019 19:27,"Hi, Ubaidu Yau
Congratulations! You have been successfull
I'm from kano
I'm not hear from anyone about a training"
96,onoja patrick,11/12/2019 19:18,"N-POWER, Stop being nepotism. When Afolabi was there, everything was going smoothly. Now it is in the state of despair"
97,Sena,11/12/2019 18:59,It's federal package but they send candidate to school close to…
98,IMRAN_Basheer,11/12/2019 18:36,"With this recurrence, we can rightly say  &amp;  are aware of the continuous delay of payment of… "
99,sunshinefortune,11/12/2019 18:26,Is Nteach  teaching in a federal state own schools?
100,COOPERATIVE AGENTS🔴🔴🔴,11/12/2019 18:07,Chai Corruption everywhere
101,TheCable,11/12/2019 18:02,. probe ‘corruption in N-POWER
102,Rolinstone,11/12/2019 17:38,I wish them a happy celebration
103,Ọmọtọshọ ṣéùń,11/12/2019 16:50,N-POWER  please when should the beneficiaries be expecting their pay for October? Because things are getting worse
104,Abdulbasid Usman,11/12/2019 16:39,N-POWER pls what happened to our October stipend?
105,O. J. OKORIE,11/12/2019 16:36," 1 16 _ytk _ng Thanks bro. 
Our maturity should be to this level"
106,MODEREY🇳🇬™,11/12/2019 16:23,"N-POWER I will like to know why is the delay of paying monthly stipend to N-power beneficiary ,N-Build to be precise"
107,BokoHaramSurvivor,11/12/2019 16:09,This N-POWER has to improve. it is poorly manage
108,Casle14,11/12/2019 15:48,N-POWER The most shameless people
109,Vincent Adeka,11/12/2019 15:47,N-POWER please any info regarding October stipend? We have gone bankrupt
110,Ayodele Johnson 🌼,11/12/2019 15:46,"please kindly pay October stipend of N-POWER beneficiaries, we are hungry…"
111,Legit.ng,11/12/2019 15:39,"The N-POWER consists of the N-Teach, N-Agro, N-Tech, N-Build and N-Creativity programmes."
112,Grace Ati,11/12/2019 15:11,N-POWER Nigeria Truly amazing!
113,muhamad shakur aliyu,11/12/2019 15:08,"If Gaddafi of Libya was killed by his people, who is N-POWER.
Keep the good work n-power team only God can pay u."
114,muhamad shakur aliyu,11/12/2019 15:06,Just 30k and we are crying and begging N-POWER for it
115,OJ. Yahaya #SDGs💦🌍💧🏞,11/12/2019 14:52,"We all get excited when its school closing hour, tomorrow is another day of learning and imparting knowledge. Teach… "
116,Just Event online Publication,11/12/2019 14:42,"No exit date yet for first batch of N-Power _ng beneficiaries -FG

Justice Bibiye, Communications Manager, N… "
117,Aliyu Ibrahim,11/12/2019 14:24,"_ng Thank you -power for 
your concerns we are really appreciate God bless Nigeria and God bless N-power team"
118,sani adamu,11/12/2019 13:55,_ng how can we celebrate without money me I even hide myself in the room I can't go anywhere to celebrate money on my pocket
119,Jack Obinyan-Buhari 🇳🇬,11/12/2019 13:52,"Guess who I just bumped into at Alaghodaro2019, no other than 37 one of the gurus behind _ng,… "
120,Florence Edogun,11/12/2019 13:30,"25 _ng   In fact eh, we are getting of this delay in stipend"
121,Dark One,11/12/2019 13:18,_ng pay stipend. Stop advertising nonsense.  should not take the Nigerian youths for granted after winning election.
122,Dark One,11/12/2019 13:16,_ng is _ng still under  or now under the MinistryofHumanitarian services? The delay in… 
123,Mary Ileleji,11/12/2019 13:11,_ng Delay is not denial..stop the hate speech on n- power..did they do bad by putting you on the program to… 
124,Sunday Ogo,11/12/2019 12:52,    _JAGs    _akin1… 
125,Sir Ferdinand Rogers,11/12/2019 12:43,    _JAGs    _akin1… 
126,Kareem Ahmed,11/12/2019 12:30,"Noticed whenever there is Muslim festive, you do paid your so called Stipends late, it's your norm"
127,Martins.NG,11/12/2019 12:27,pls what is holding our stipend up till now. It is not fair!!!
128,Stanley_unusual,11/12/2019 12:25,U appreciate the n power team for their wonderful work and  our achievement but I am here suffering
129,Peace Corps Of Nigeria,11/12/2019 11:48,N-power I Don tire oh
130,Jamboree Nwa Anam(affidavit PhD),11/12/2019 11:46,"N-POWER which way npower na? 
Your beneficiaries are complaining of non payment of their stipend/pocket money up till now"
131,Alhaji Saheed,11/12/2019 11:39,good day say my account have been on hold I was ask to re upload NY deployment letter and the button is not active thanks
132,Ibrahim Salisu Abdul,11/12/2019 11:24,please why is Npower  not paying at month end until another month entered and even reached almost half. This is very poor of them.
133,Edet,11/12/2019 11:10,Npower Pls. Don't get it twisted
134,Emeka Onwe,11/12/2019 10:50,"N-POWER I was going to ask when to expect payment of stipend and device as well,because your delaying is making us weary"
135,djkmoney,11/12/2019 10:35,That's generally done all over the world.
136,BokoHaramSurvivor,11/12/2019 10:14,I just saw some people with white shorts and T-shirts bearing Community Police written on it at the Borno HQs of th… 
137,CkyView Technologies,11/12/2019 10:05,Please help me check too. Adeyemi Samson Olabanji.
138,ProfRolex,11/12/2019 9:40,"We are all complaining, even more we are complaining. This is bad."
139,Kunle Adediran,11/12/2019 9:31,SSA to  on job creation Mr. Afolabi Imoukuhede was at the _ng NPowerTech (Southern) campus to inspect things
140,ProfRolex,11/12/2019 9:27,No level of nonpayment would make me resolve to position
141,Mahmud Salihu Kaura,11/12/2019 9:24,"Indeed a great liar, those things started from december last year. By that time Osinbajo is the incharge."
142,Graciee,11/12/2019 9:19,"These are the kinds of statistics I want to see. Great job, N-POWER
Hope to see even more in the near future 💪🏽"
143,Kunle Adediran,11/12/2019 9:17,"Jenny Sampson Mfon, an NPowerTech software training beneficiary from Akwa Ibom State sharing her wonderful experience"
144,Bolu,11/12/2019 9:14,N-Power should stop working sluglishly
145,Bukola Wahab,11/12/2019 9:14,N-Power programme management should work hard to improve this programme
146,Bukola Wahab,11/12/2019 9:13,N-power volunteers are treated unfairly through failure of payment
147,Bukola Wahab,11/12/2019 9:10,SSA to President  on job creation Mr. Afolabi Imoukuhede was at the _ng NPowerTech Southern campus…
148,CBN Gov Akinsola Ak🇳🇬,11/12/2019 9:07,Janny Sampson Mfon from Akwa Ibom shows appreciation for being a beneficiary of the  _ng… 
149,Hosea Ozeal,11/12/2019 9:05,"Me will just come here and be expecting to hear something like! Thank you, the October stipend has been paid"
150,Taofeek T. Gawat 🇳🇬,11/12/2019 9:02,October is delay for too much
151,Ẹguọnọvwoba-a Oghenekobiruo,11/12/2019 8:56,"N-Power Okay, you're shameful 😂😂😂"
152,PATRIOT,11/12/2019 8:53,This is programme is working but needs more energy
153,PATRIOT,11/12/2019 8:53,Volunteers are hungry. N-POWER do something about this
154,PATRIOT,11/12/2019 8:53,N-Power should do more in public enlightenment
155,The OverLord Queen Herself,11/12/2019 8:53,N-POWER don't delay october stipend anymore
156,PATRIOT,11/12/2019 8:46,"october stipend is not yet seen oh, N-POWER"
157,Hаяcкнап,11/12/2019 8:44,"N-POWER I learnt the stipend to be paid will be 10,000 naira. How true is this?"
158,DJ Tonio,11/12/2019 8:37,N-POWER No stipend so we can't celebrate pls pay us ohh😞🙁😞
159,Alfred The Great,11/12/2019 8:30,N-POWER I just wanted to know if recruitment is ongoing? Because I saw apply for the Npower Teach and when I app…
160,The Angel of Babylon,11/12/2019 8:11,N-POWER With the 600naira feeding allowance per day provided for Ntech software guys currently in training?? I…
161,Saheed Odulaja,11/12/2019 7:51,"N-POWER  I have updated my Advance   Pig Game.

Am still expecting NPowerTech Training Southern Regi…"
162,Hassan Micah Elang,11/12/2019 7:50,N-POWER Some people are simpleton
163,Hassan Micah Elang,11/12/2019 7:49,N-POWER How can one have a happy celebration without money??? _ng
164,Mansir sani,11/12/2019 7:36,"N-POWER Nothing good, we celebrated with empty pocket."
165,Mss Hafsat Omale,11/12/2019 7:30,"N-POWERGood morning Sir, please I want to confirm if"
166,Adelaja Ademola O.,11/12/2019 7:25,"N-POWER Good morning Sir/Ma,
I couldn't access the transition page on my portal. It has been on and off. I dont…"
167,Shola Amaju,11/12/2019 7:11,N-POWER Yeah... Right... I was wrong with that too.
168,Adedoyin Peter,11/12/2019 7:09,N-POWER This program started very well it is better not to end bad  other state Govt. should emulate cross river…
169,Abubakar,11/12/2019 6:47,N-POWER I need an empolyment
170,Abbah Isah Sadia,11/12/2019 6:42,N-POWER You are a great liar
171,Mahmud Salihu Kaura,11/12/2019 6:10,"I do hope that when Xmas come, you will not get your stipend"
172,M. G. Gonet,11/12/2019 6:04,N-POWER It's so pathetic honestly
173,WHY⚽️⚽️⚽️⚽️⚽️,11/12/2019 5:57,They are using Npower volunteers monthly stipend to invest on their private acct because they pay us wen ever they feel. very bad indeed
174,Waapera Lubem,11/12/2019 5:54,what happen to what the president was saying he will not allow the 2016 back to go back to th…
175,Waapera Lubem,11/12/2019 5:50,elections are over now every SA on job creation is talking about disengaging the 2016 batch.
176,Bakare Malakachallah,11/12/2019 5:45,N-POWER What you people are doing to the beneficiaries of this program is totally inhuman and it's a disgrace to humanity
177,Ni ne Oga Kpatakpata,11/12/2019 5:35,Brooooooo.... I'm weak. I can't even say anything. It's just so poor
178,Abu Firdaus Ibn Bello,11/12/2019 5:33,"They are not only shameless, they are gradually becoming fraudsters. Doing business with our stipend before pay us"
179,hope ndem,11/12/2019 5:26,N-POWER Please why always delay in npower stipends 2weeks into the new month??
180,Obri Fidelis,11/12/2019 5:17,"There are Judas in npower that are trying their possible best to cause confusion, and to make the programme insignificant"
181,Aliyu Muhammad,11/12/2019 5:11,"N-POWER We are not happy because you didn't give us our October stipend, but if it's  annually you are paying th…"
182,ten OVER ten  🔥🔥,11/12/2019 5:08,"The guys at the situation room are as confused and dumb as the volunteers.
They know nothing else other…"
183,ten OVER ten  🔥🔥,11/12/2019 5:05,without money there is nothing to celebrate
184,OLUGBADE I. A,11/12/2019 4:37,N-POWER How do you want them to celebrate when you refused to pay their stipend? The delay and the epileptic style of payment is unimagineable
185,Samuel Adesope,11/12/2019 4:32,_ng Good day. Please what is wrong that I can't find transition on my profile page? I'm 2016 Nagro.
186,AA Michael,11/12/2019 4:20,N-POWER Its so unfortunate that this kind of treatment keeps trending all the time.
187,ojei kelvin,11/12/2019 4:13,NpowerTech how can some one that has been running Npower Build redeployed to NpowerTech. Pls I really need this transition
188,Edward Yamusa,11/12/2019 3:36,N-POWER What about the transition? Any direct news about that?  Many of us have tried sevarally but failed
189,Najibu Tanimu,11/12/2019 0:47,Shame on you N-POWER
190,Najibu Tanimu,11/12/2019 0:41,N-power is really scam
191,Ojetayo J. Olalekan,11/12/2019 0:15,"Since the npower has been taking away from the office of vice president, things have changed its way negatively."
192,Emmanuel Oluwafemi,11/11/2019 23:08,"Dear N-POWER, there's need for a new year resolution targeted at SDG (Sustainable Development Goals) from your employee"
193,Preshe Sports Cafe,11/11/2019 22:37,N-POWER please pay us we are tired
194,Preshe Sports Cafe,11/11/2019 22:36,"Good evening Sir, well done! But please when will the 2016 batch of Npower get their stipend? Am tired of waiting"
195,Habib Garo,11/11/2019 22:19,N-POWER Most of your promised is not truth.
196,Abbah Isah Sadia,11/11/2019 21:44,Yeah i know wat am doing prof regina i think if npower team trea…
197,Kowatsky Rico,11/11/2019 21:31,N-power please keep the spirit high
198,Baballe Salisu Abdullahi,11/11/2019 21:27,Good job cross river-N-power
199,Gf,11/11/2019 21:14,"_ytk 1 _ng Pls stop sounding this way, both the Christians and the Muslims, who is happy with empty pocket."
200,~~Adam~~,11/11/2019 21:12,N-POWER One question at a time. Which one matter most?
201,ENAUGHE AGHOGHO,11/11/2019 21:00,I dont understand the reason you guys always pay stipends between 14-15 of every month.
202,This girl isn't that girl,11/11/2019 20:47,N-POWER are not giving volunteers the needful value.
203,This girl isn't that girl,11/11/2019 20:46,N-POWER needs improvement in their managerial skills
204,Icon,11/11/2019 20:46,N-POWER are not paying stipends on time
205,Icon,11/11/2019 20:45,we cannot volunteer and be Hungry. N-POWER pay us in time. This is unfair
206,This girl isn't that girl,11/11/2019 20:45,Beneficiary says N-POWER empowered him through Nbuild scheme.
207,This girl isn't that girl,11/11/2019 20:44,N-POWER don't delay payment. We are still waiting for october salary
208,Icon,11/11/2019 20:42,N-POWER should improve in management
209,Dr Yahooza,11/11/2019 20:41,   _ng    Do they pay in millions?
210,Icon,11/11/2019 20:41,_A    1 _lagos 1051 _ng… 
211,idio thomas,11/11/2019 20:34,"_ng Be patient with the Government, all will be well"
212,Akinbile Oyewumi S,11/11/2019 20:33,_ng Happy celebration to our Muslim brothers
213,Angela 2,11/11/2019 20:28,   _ng    Trainee on deception.
214,Joseph Inyali,11/11/2019 20:25," _ng Fantastic news, thumb up for this formidable duo  and  for initiating… "
215,Adejumo Seyi,11/11/2019 20:23,"_ng Here's an example...

World War 1, also known as the first World War ended on the 11th of November 1918.… "
216,Adejumo Seyi,11/11/2019 20:23,_ng And I'll say the idea struck me only when I started teaching them. I've been working on a way to make it… 
217,Adejumo Seyi,11/11/2019 20:21,"_ng I was posted to a secondary school earlier in the year and I took up history and maths as a subject, eve… "
218,Ayodeji Oginni,11/11/2019 20:21,"_ng Thank God for npower program. May God bless Nigeria, amen. I appreciate the present administration- 'OBA… "
219,Akinbile Oyewumi S,11/11/2019 20:12,_ng Congratulation.
220,Adejumo Seyi,11/11/2019 20:07,12  _ng Definitely he was absolutely wrong to have said  is shameless due to delaye… 
221,Philip Obin,11/11/2019 20:06,"It has come to our notice that Cross River State SUBEB has employed 76 N-Power beneficiaries.

Good job Cross River… "
222,Aliyu Ahmad Tijjani,11/11/2019 20:04,_ng congrats!
223,ProfRolex,11/11/2019 19:53,16  _ytk 1 _ng I am equally very sorry to tell you that an educated… 
224,8031847698,11/11/2019 19:52,_ng Well well.. Someone is hungry
225,Kasim Suleiman,11/11/2019 19:38,"_ng Celebration, wen una never settle npower beneficiaries today is 11th November.. Y d delay"
226,M. G. Gonet,11/11/2019 19:30,_ytk 1 _ng No hope for this country with these kinds of youths who see things only from religious prism.
227,abdulrahman saleh,11/11/2019 19:26,_ng Thank you for your support 
228,Bright,11/11/2019 19:12,_ng Hmm.. Close door employment
229,♦♦Ajoketradingstore♦♦,11/11/2019 19:02,_ng I just came to check if npower is still in existence.
230,sannidudu,11/11/2019 19:02, _ng 🙆 Plz kindly explain your stand?
231,Abem Sunday owan,11/11/2019 19:00,"_ng Please let me know more about Nagro,is there any news about them"
232,Regina ifeoma,11/11/2019 18:59, _ytk 1 _ng I am equally sorry that the self acclaimed educated person said that too
233,Semilore,11/11/2019 18:44,_ng You should have paid them their stipends
234,Sulaiman Yusuf,11/11/2019 18:42,"Amin
 
    1 3  _ng… "
235,Olarewaju,11/11/2019 18:29,_ng When u delay our stipend is not good now are u people we tell us dat u hv not received ur own salary God… 
236,Keneke Emmanuel,11/11/2019 18:28,_ng Wen are we expecting our stipend for October na 😭😭😭😭😭😭😭😭😭💜💜💜
237,Adetoro Adebola,11/11/2019 18:27,"_ng _ng if the plans of npower is to disengage 2016 batch of npower, I want you the authority to no y… "
238,Adetoro Adebola,11/11/2019 18:26," _ng if the plans of npower is to disengage 2016 batch of npower, I want you the authority to n… "
239,Adetoro Adebola,11/11/2019 18:26," _ng if the plans of npower is to disengage 2016 batch of npower, I want you the authority to no you… "
240,Ali Scorpion,11/11/2019 18:25,_ng Thanks may God bless.
241,Adetoro Adebola,11/11/2019 18:24,"_ng if the plans of npower is to disengage 2016 batch of npower, I want you the authority to no you will cre… "
242,AHMAD NUHU,11/11/2019 17:58,N-POWER You too try to displeased
243,Babalola Akeem,11/11/2019 17:56,"N-POWER  Pls, release our stipend it's getting late."
244,Kasim Suleiman,11/11/2019 17:53,"11th November, till now npower beneficiaries stipend still hanging, y d delay,"
245,Kehinde,11/11/2019 17:48,Npower please when is the transition icon be back on our pages most 2016 npowerites have not selected an…
246,Chukwujekwu Jevic,11/11/2019 17:45,N-POWER A very welcomed development.
247,Akpan. M.J.,11/11/2019 17:37,N-POWER Dead state
